date,DATE,Average expenditure 25 - 34,Average expenditure 35 - 44,Average expenditure 45 - 54,Average expenditure 65 - 74,CPI,Employees Construction,GDP,House for sale to sold,Industrial production,Mortgage,Price house under Construction,Private owned house ,PPI,Unemployment Rate ,Unemployment construction,Population,target,gdp_per_capita,CPI_TREND,GDP_RATE,GDP_TREND,EMP_CONST_RATE,EMP_CONST_TREND,houses_for_sale_to_sold_rate,HOUSES_S2S_TREND,CPI cum_sum,House for sale to sold cum_sum,Private house under Construction cum_sum,Private owned house cum_sum,Private house under Construction Rate,Private owned house rate,Private house under Construction Rate Trend,Private owned house rate trend
45,2006-10,47522,116899,58203,42040,-0.5,7682,14039.56,1.9878743481543455,99.1253,6.3575,1283,1918,169.4,4.4,1.5040773967762742,299946.0,183.198,0.04680695858587879,DOWN,0.0522968281435207,UP,0.02932451570804353,UP,0.27888621625698434,UP,11.099999999999996,69.36741946849224,57825,85375,0.33752770047439706,0.32899222905153747,UP,UP
46,2006-11,47516,117085,58267,42148,-0.1,7666,14098.26,1.8870696490323797,99.0969,6.24,1265,1893,169.4,4.5,1.791759469228055,300167.0,183.609,0.046968054449689677,DOWN,0.04961424358050375,UP,0.018697055519579484,UP,0.15914018030521723,UP,10.999999999999996,71.25448911752463,59090,87268,0.32591720499692517,0.3203562938429168,UP,UP
47,2006-12,47510,117271,58331,42256,0.1,7685,14156.96,1.8718021769015913,100.1122,6.135,1247,1888,169.4,4.4,1.9315214116032138,300388.0,184.139,0.04712891327216799,UP,0.046960993083178984,UP,0.019977008147001533,UP,0.1636488002976554,UP,11.099999999999996,73.12629129442622,60337,89156,0.31439317285754886,0.3115793921770047,UP,UP
48,2007-01,47564,117492,58568,42193,0.3,7725,14215.651,1.9740810260220096,99.7571,6.2175,1217,1822,173.4,4.6,2.186051276738094,300609.0,184.517,0.047289505636890446,UP,0.04433551461935409,UP,0.016182005199905685,UP,0.1686534653497232,UP,11.399999999999997,75.10037232044823,61554,90978,0.30255422257115433,0.3011009337829375,UP,UP
49,2007-02,47618,117719,58805,42124,0.5,7626,14277.791,2.066862759472976,100.7275,6.285,1206,1640,173.6,4.5,2.3513752571634776,300834.0,184.598,0.04746069593197577,UP,0.044923241497915815,UP,-0.004970579233187383,DOWN,0.13365091470879265,UP,11.899999999999997,77.16723507992121,62760,92618,0.29115100981848496,0.28900017932282934,UP,UP
50,2007-03,47672,117946,59042,42055,0.9,7706,14339.931,2.066862759472976,100.9023,6.156,1192,1623,175.7,4.4,2.1972245773362196,301059.0,184.15,0.04763163034488257,UP,0.04550621586370954,UP,0.0022085101539221466,UP,0.1522583044874726,UP,12.799999999999997,79.2340978393942,63952,94241,0.28008031611197504,0.27452285510029484,UP,UP
51,2007-04,47726,118173,59279,41986,0.6,7686,14402.082,2.0014800002101243,101.5874,6.18,1181,1539,188.5,4.5,2.151762203259462,301284.0,183.01,0.047802345959294223,UP,0.046084968169608234,UP,-0.005190772101437371,DOWN,0.0838226661821386,UP,13.399999999999997,81.23557783960432,65133,95780,0.2698028521093714,0.26221393122852876,UP,UP
52,2007-05,47780,118400,59516,41917,0.6,7673,14456.092,2.0541237336955462,101.6299,6.262,1164,1536,188.5,4.4,1.9315214116032138,301543.33,181.6,0.04794034741209497,UP,0.047002261803483554,UP,-0.0051995437563338845,DOWN,0.11851635677578688,UP,13.999999999999996,83.28970157329987,66297,97316,0.259577677436237,0.2527055647492039,UP,UP
53,2007-06,47834,118627,59753,41848,0.2,7687,14510.102,2.1041341542702074,101.6482,6.6575,1161,1481,188.5,4.6,1.7749523509116738,301802.66,180.254,0.048078111703853114,UP,0.047913559488780455,UP,-0.001559859928917541,DOWN,0.13383981356026192,UP,14.199999999999996,85.39383572757008,67458,98797,0.2502540130957048,0.24104888348721246,UP,UP
54,2007-07,47888,118854,59990,41779,0.0,7660,14564.117,2.1162555148025524,101.4925,6.695,1144,1534,188.5,4.7,1.7749523509116738,302062.0,179.111,0.0482156544020764,DOWN,0.04881897511928671,UP,-0.006765573555744535,DOWN,0.06258235931021719,UP,14.199999999999996,87.51009124237262,68602,100331,0.2414509849089376,0.2318501502365051,UP,UP
55,2007-08,47942,119081,60227,41710,-0.2,7610,14614.427,2.2192034840549946,101.6874,6.572,1123,1512,188.5,4.6,1.667706820558076,302317.67,178.116,0.048341292786491775,DOWN,0.048205064394544576,UP,-0.014351192163090385,DOWN,0.1541858446801265,UP,13.999999999999996,89.72929472642763,69725,101843,0.2331431842073717,0.22349218782980468,UP,UP
56,2007-09,47996,119308,60464,41641,0.3,7577,14664.737,2.2192034840549946,101.9398,6.3825,1108,1356,188.5,4.7,1.7578579175523736,302573.34,177.558,0.04846671884575157,UP,0.04759573871914488,UP,-0.018437920166190714,DOWN,0.1541858446801265,UP,14.299999999999997,91.94849821048263,70833,103199,0.2253412689759841,0.21232763392372586,UP,UP
57,2007-10,48050,119535,60701,41572,0.2,7565,14715.058,2.1400661634962708,101.6345,6.375,1096,1405,188.6,4.7,1.8082887711792655,302829.0,176.624,0.0485919710463661,UP,0.046992264158655137,UP,-0.015347582683393837,DOWN,0.07377084499434258,UP,14.499999999999996,94.0885643739789,71929,104604,0.21825831326000664,0.20312847392648523,UP,UP
58,2007-11,48104,119762,60938,41503,0.6,7523,14712.218,2.2407096892759584,102.2068,6.208,1080,1390,188.6,4.7,1.824549292051046,303050.67,175.147,0.04854705650378533,UP,0.042626919514145455,UP,-0.018829972380278864,DOWN,0.17176746562562237,UP,15.099999999999996,96.32927406325486,73009,105994,0.21152101586274039,0.1943986452066504,UP,UP
59,2007-12,48158,119989,61175,41434,-0.1,7490,14709.378,2.2617630984737906,102.2604,6.095,1059,1328,188.6,5.0,2.2407096892759584,303272.34,174.342,0.048502207619725554,DOWN,0.03827887360791328,UP,-0.025701579461431024,DOWN,0.18924294346801707,UP,14.999999999999996,98.59103716172865,74068,107322,0.2050380759438236,0.18544601689521717,UP,UP
60,2008-01,48020,119655,60973,41560,0.5,7476,14706.538,2.2300144001592104,102.14,5.758,1041,1331,189.0,5.0,2.3978952727983707,303494.0,173.132,0.04845742584696897,UP,0.033948616064233404,UP,-0.032763933190492776,DOWN,0.12190505613574926,UP,15.499999999999996,100.82105156188786,75109,108653,0.19902555346924294,0.17754159887125903,UP,UP
61,2008-02,47881,119323,60767,41687,0.3,7453,14759.588,2.272125885509337,101.7671,5.9175,1025,1274,189.0,4.9,2.4336133554004498,303716.0,171.541,0.048596675841904934,UP,0.033187652434945605,UP,-0.022946825535815243,DOWN,0.09468402418070916,UP,15.799999999999997,103.0931774473972,76134,109927,0.1931770177780007,0.1713330019135263,UP,UP
62,2008-03,47742,118991,60561,41814,0.9,7406,14812.638,2.3513752571634776,101.4355,5.97,1014,1195,189.0,5.1,2.4849066497880004,303938.0,170.053,0.04873572241707191,UP,0.03243271186323143,UP,-0.039708763712544906,DOWN,0.12896849030059046,UP,16.699999999999996,105.44455270456068,77148,111122,0.18759285297858233,0.16477336579182028,UP,UP
63,2008-04,47603,118659,60355,41941,0.6,7327,14865.701,2.33214389523559,100.7424,5.9175,1009,1022,189.0,5.0,2.4069451083182885,304160.0,168.338,0.04887460875854813,UP,0.03168383362715482,UP,-0.04783433696482536,DOWN,0.15290106423114236,UP,17.299999999999997,107.77669659979627,78157,112144,0.18228829097317492,0.15772986484350562,UP,UP
64,2008-05,47464,118327,60149,42068,0.8,7274,14876.801,2.3702437414678603,100.132,6.036,991,1142,188.3,5.4,2.151762203259462,304407.33,166.659,0.0488713625916958,UP,0.028687102323748954,UP,-0.05340132663073091,DOWN,0.14314344431002024,UP,18.099999999999998,110.14694034126413,79148,113286,0.17717487023091605,0.15195217909457526,UP,UP
65,2008-06,47325,117995,59943,42195,1.0,7213,14887.901,2.3702437414678603,99.8651,6.32,975,1142,188.3,5.6,2.1041341542702074,304654.66,165.017,0.04886812169556179,UP,0.025703773160991775,UP,-0.06364563684545937,DOWN,0.11908873998206077,UP,19.099999999999998,112.51718408273199,80123,114428,0.17205777193518562,0.14687856432242874,UP,UP
66,2008-07,47186,117663,59737,42322,0.5,7160,14898.999,2.3513752571634776,99.4214,6.426,955,1087,188.7,5.8,2.0794415416798357,304902.0,163.566,0.04886487789519255,UP,0.022733265698404535,UP,-0.06750200277994568,DOWN,0.1053521124049973,UP,19.599999999999998,114.86855933989547,81078,115515,0.16708996545819882,0.14092567166293113,UP,UP
67,2008-08,47047,117331,59531,42449,-0.4,7114,14802.069,2.424802725718295,97.8448,6.4775,936,1017,190.7,6.1,2.1041341542702074,305140.0,161.987,0.04850910729501212,DOWN,0.01275777679691512,UP,-0.06739849834733107,DOWN,0.08860183032398739,UP,19.2,117.29336206561376,82014,116532,0.16233103088501827,0.13473350161165235,UP,UP
68,2008-09,46908,116999,59325,42576,-0.1,7044,14705.139,2.388762789235098,93.559,6.0375,904,1160,191.2,6.1,2.2925347571405443,305378.0,160.308,0.0481538912429841,DOWN,0.002751256115956341,UP,-0.07294115231527667,DOWN,0.0736272299654954,UP,19.099999999999998,119.68212485484887,82918,117692,0.15752717384037795,0.1314118794644079,UP,UP
69,2008-10,46769,116667,59119,42703,-1.0,6967,14608.209,2.451005098112319,94.4956,6.2,876,1055,197.1,6.5,2.379546134130174,305616.0,158.327,0.04779922844353699,DOWN,-0.007287692254722406,DOWN,-0.08234763119233736,DOWN,0.13566143847955306,UP,18.099999999999998,122.13312995296118,83794,118747,0.15268188450184791,0.12681338762029754,UP,UP
70,2008-11,46630,116335,58913,42830,-1.9,6813,14549.109,2.4336133554004498,93.2689,6.0875,842,1076,197.1,6.8,2.5416019934645457,305823.0,156.142,0.0475736259208758,DOWN,-0.011148550398986372,DOWN,-0.09913244278655339,DOWN,0.08258448916919946,UP,16.2,124.56674330836164,84636,119823,0.14777698679371876,0.12263316516225074,UP,UP
71,2008-12,46491,116003,58707,42957,-1.0,6701,14490.009,2.4159137783010487,90.628,5.286,806,1021,197.1,7.3,2.72785282839839,306030.0,153.619,0.04734832859523576,DOWN,-0.015025872108500274,DOWN,-0.11131202853809449,DOWN,0.06593295043904972,UP,15.2,126.98265708666268,85442,120844,0.14285419300204708,0.11866679635344028,UP,UP
72,2009-01,46504,115819,58631,42830,0.4,6567,14430.902,2.501435951739211,88.3811,5.0475,783,777,197.1,7.8,2.9014215940827497,306237.0,151.507,0.04712331298961262,UP,-0.018920277317490262,DOWN,-0.12964078238448076,DOWN,0.11485690475470976,UP,15.6,129.4840930384019,86225,121621,0.13801976702003094,0.11275033407189762,UP,UP
73,2009-02,46514,115629,58554,42703,0.5,6446,14414.342,2.3513752571634776,87.8412,5.13,756,819,197.1,8.3,3.0633909220278057,306446.67,150.015,0.047037032577315986,UP,-0.02366922235069135,DOWN,-0.1451568525063107,DOWN,0.03428446611988134,UP,16.1,131.8354682955654,86981,122440,0.13319475835640923,0.10780460495251665,UP,UP
74,2009-03,46524,115439,58477,42576,0.2,6291,14397.782,2.3978952727983707,86.4794,5.0025,717,839,197.1,8.7,3.0492730404820207,306656.34,148.66,0.04695087014995352,UP,-0.028406568366967637,DOWN,-0.1631704419035284,DOWN,0.019591010125371774,UP,16.3,134.23336356836376,87698,123279,0.12817343915344526,0.10382138251889572,UP,UP
75,2009-04,46534,115249,58400,42449,0.2,6154,14381.236,2.3702437414678603,85.7883,4.81,677,846,197.1,9.0,2.928523523860541,306866.0,147.949,0.046864872615408684,UP,-0.03313231178000232,DOWN,-0.17446387827797674,DOWN,0.016204823129041514,UP,16.5,136.60360730983163,88375,124125,0.12286950002335172,0.10150536260736778,UP,UP
